,beta,init_rec_frac
1178,0.43,0.75
1179,0.43,0.76
1180,0.43,0.77
1181,0.43,0.78
1182,0.43,0.79
1183,0.43,0.8
1184,0.43,0.81
1185,0.43,0.82
1186,0.43,0.83
1187,0.43,0.84
1188,0.43,0.85
1189,0.43,0.86
1190,0.43,0.87
1191,0.43,0.88
1192,0.43,0.89
1193,0.43,0.9
1194,0.43,0.91
1195,0.43,0.92
1196,0.43,0.93
1197,0.43,0.94
1198,0.43,0.95
1199,0.43,0.96
1200,0.43,0.97
1201,0.43,0.98
1202,0.43,0.99
1203,0.44,0.25
1204,0.44,0.29
1205,0.44,0.31
1206,0.44,0.32
1207,0.44,0.34
1208,0.44,0.35
1209,0.44,0.36
1210,0.44,0.37
1211,0.44,0.38
1212,0.44,0.39
1213,0.44,0.4
1214,0.44,0.41
1215,0.44,0.42
1216,0.44,0.43
1217,0.44,0.44
1218,0.44,0.45
1219,0.44,0.46
1220,0.44,0.47
1221,0.44,0.48
1222,0.44,0.49
1223,0.44,0.5
1224,0.44,0.51
1225,0.44,0.52
1226,0.44,0.53
1227,0.44,0.54
1228,0.44,0.55
1229,0.44,0.56
1230,0.44,0.57
1231,0.44,0.58
1232,0.44,0.59
1233,0.44,0.6
1234,0.44,0.61
1235,0.44,0.62
1236,0.44,0.63
1237,0.44,0.64
1238,0.44,0.65
1239,0.44,0.66
1240,0.44,0.67
1241,0.44,0.68
1242,0.44,0.69
1243,0.44,0.7
1244,0.44,0.71
1245,0.44,0.72
1246,0.44,0.73
1247,0.44,0.74
1248,0.44,0.75
1249,0.44,0.76
1250,0.44,0.77
1251,0.44,0.78
1252,0.44,0.79
1253,0.44,0.8
1254,0.44,0.81
1255,0.44,0.82
1256,0.44,0.83
1257,0.44,0.84
1258,0.44,0.85
1259,0.44,0.86
1260,0.44,0.87
1261,0.44,0.88
1262,0.44,0.89
1263,0.44,0.9
1264,0.44,0.91
1265,0.44,0.92
1266,0.44,0.93
1267,0.44,0.94
1268,0.44,0.95
1269,0.44,0.96
1270,0.44,0.97
1271,0.44,0.98
1272,0.44,0.99
1273,0.45,0.25
1274,0.45,0.28
1275,0.45,0.29
1276,0.45,0.3
1277,0.45,0.31
1278,0.45,0.32
1279,0.45,0.33
1280,0.45,0.34
1281,0.45,0.35
1282,0.45,0.37
1283,0.45,0.38
1284,0.45,0.39
1285,0.45,0.4
1286,0.45,0.41
1287,0.45,0.42
1288,0.45,0.43
1289,0.45,0.44
1290,0.45,0.45
1291,0.45,0.46
1292,0.45,0.47
1293,0.45,0.48
1294,0.45,0.49
1295,0.45,0.5
1296,0.45,0.51
1297,0.45,0.52
1298,0.45,0.53
1299,0.45,0.54
1300,0.45,0.55
1301,0.45,0.56
1302,0.45,0.57
1303,0.45,0.58
1304,0.45,0.59
1305,0.45,0.6
1306,0.45,0.61
1307,0.45,0.62
1308,0.45,0.63
1309,0.45,0.64
1310,0.45,0.65
1311,0.45,0.66
1312,0.45,0.67
1313,0.45,0.68
1314,0.45,0.69
1315,0.45,0.7
1316,0.45,0.71
1317,0.45,0.72
1318,0.45,0.73
1319,0.45,0.74
1320,0.45,0.75
1321,0.45,0.76
1322,0.45,0.77
1323,0.45,0.78
1324,0.45,0.79
1325,0.45,0.8
1326,0.45,0.81
1327,0.45,0.82
1328,0.45,0.83
1329,0.45,0.84
1330,0.45,0.85
1331,0.45,0.86
1332,0.45,0.87
1333,0.45,0.88
